file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,202,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,203,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,11
style.css,204,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,11
style.css,205,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,206,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,10
style.css,207,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,11
style.css,208,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,209,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,13
style.css,210,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,32
style.css,211,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,212,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,10
style.css,213,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,214,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,215,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,216,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,217,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,218,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,56
style.css,219,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,19
style.css,220,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,64
style.css,221,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,53
style.css,222,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,223,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,10
style.css,224,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,225,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,226,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,18
style.css,227,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,27
style.css,228,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,42
style.css,229,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,86
style.css,230,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,231,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,232,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,6
